Sport,Entry,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
NBA,NBA $1 50/50,11/20/2014 20:00,46,218,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,46,218,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,"NBA $35K Layup [$35,000 Guaranteed] (1/Unl.)",11/20/2014 20:00,15108,220.5,$0.00 ,$0.00 ,20125,$2.00 ,"$35,000.00 ",4030
NBA,"NBA $35K Layup [$35,000 Guaranteed] (2/Unl.)",11/20/2014 20:00,13373,224.25,$0.00 ,$0.00 ,20125,$2.00 ,"$35,000.00 ",4030
NBA,"NBA $35K Layup [$35,000 Guaranteed] (3/Unl.)",11/20/2014 20:00,16304,218,$0.00 ,$0.00 ,20125,$2.00 ,"$35,000.00 ",4030
NBA,NBA $3 50/50 [Top 50% Win],11/20/2014 20:00,56,218,$0.00 ,$0.00 ,60,$3.00 ,$162.00 ,30
NBA,NBA $3 50/50 [Top 50% Win],11/20/2014 20:00,56,218,$0.00 ,$0.00 ,60,$3.00 ,$162.00 ,30
NBA,NBA $3 50/50 [Top 50% Win],11/20/2014 20:00,54,218,$0.00 ,$0.00 ,60,$3.00 ,$162.00 ,30
NBA,NBA $3 50/50 [Top 50% Win],11/20/2014 20:00,50,218,$0.00 ,$0.00 ,60,$3.00 ,$162.00 ,30
NBA,NBA $1 50/50,11/20/2014 20:00,47,218,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,45,218,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,45,218,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,44,218,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,33,224.25,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,37,224.25,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
NBA,NBA $1 50/50,11/20/2014 20:00,37,224.25,$0.00 ,$0.00 ,50,$1.00 ,$45.00 ,25
